Time, CameraRig_X_Pos, CameraRig_Y_Pos, CameraRig_Z_Pos, Head_X_Pos, Head_Y_Pos,Head_Z_Pos, Head_X_Rot, Head_Y_Rot, Head_Z_Rot, GSR, m, b, distance
0.016087,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.032174,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.052174,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.0788286,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.0998581,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.1171853,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.137041,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.1612188,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.1975853,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.2282354,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.2448031,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.2613705,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.2786496,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.2945916,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.3115347,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.3276364,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.3444257,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.3607694,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.3773361,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.3942597,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.4104696,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.4271496,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.4436029,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.4601704,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
0.4769858,749,404.47,1795,749,405.47,1795,0,157.3866,0,29,0,0,150
