Time, X Position, Y Position, Z Position, GSR
0.0165664,749,404.47,1795,54
0.0331328,749,404.47,1795,54
0.0531328,749,404.47,1795,54
0.0812788,749,404.47,1795,54
0.0984499,749,404.47,1795,54
0.1144482,749,404.47,1795,54
0.1309795,749,404.47,1795,54
0.1482318,749,404.47,1795,54
0.1642279,749,404.47,1795,54
0.1806813,749,404.47,1795,54
0.1972471,749,404.47,1795,54
0.2145323,749,404.47,1795,54
0.2529996,749,404.47,1795,54
0.2732197,749,404.47,1795,54
0.2897882,749,404.47,1795,54
0.3063548,749,404.47,1795,54
0.3231859,749,404.47,1795,54
0.3396566,749,404.47,1795,54
0.3560558,749,404.47,1795,54
0.3727817,749,404.47,1795,54
0.3891885,749,404.47,1795,54
0.4057711,749,404.47,1795,54
0.4227708,749,404.47,1795,54
0.4388885,749,404.47,1795,54
0.4557697,749,404.47,1795,54
0.4720215,749,404.47,1795,54
0.4885895,749,404.47,1795,54
0.5054073,749,404.47,1795,54
0.5224143,749,404.47,1795,54
0.5382894,749,404.47,1795,54
0.5550103,749,404.47,1795,54
0.5714222,749,404.47,1795,54
0.5880053,749,404.47,1795,54
0.6046629,749,404.47,1795,54
0.6216616,749,404.47,1795,54
0.6376895,749,404.47,1795,54
0.654664,749,404.47,1795,54
0.6708226,749,404.47,1795,54
0.6873895,749,404.47,1795,54
0.7039554,749,404.47,1795,54
0.7212108,749,404.47,1795,54
0.7372071,749,404.47,1795,54
0.754207,749,404.47,1795,54
0.7702231,749,404.47,1795,54
0.7867901,749,404.47,1795,54
0.8033555,749,404.47,1795,54
0.820179,749,404.47,1795,54
0.8364879,749,404.47,1795,54
0.8531786,749,404.47,1795,54
0.8696215,749,404.47,1795,54
0.8861893,749,404.47,1795,54
0.9031869,749,404.47,1795,54
0.9193215,749,404.47,1795,54
0.9361795,749,404.47,1795,54
0.9524551,749,404.47,1795,54
0.9691791,749,404.47,1795,54
0.9855885,749,404.47,1795,54
1.002182,749,404.47,1795,54
1.019181,749,404.47,1795,54
1.035288,749,404.47,1795,54
1.052182,749,404.47,1795,54
1.068421,749,404.47,1795,54
1.084988,749,404.47,1795,54
1.102183,749,404.47,1795,54
1.118176,749,404.47,1795,54
1.134688,749,404.47,1795,54
1.151288,749,404.47,1795,54
1.168289,749,404.47,1795,54
1.184389,749,404.47,1795,54
