Time, X Position, Y Position, Z Position, GSR
0.0021103,749,404.47,1795,41
0.0042206,749,404.47,1795,41
0.0242206,749,404.47,1795,41
0.0440429,749,404.47,1795,41
0.0608942,749,404.47,1795,41
0.0774151,749,404.47,1795,41
0.09440351,749,404.47,1795,41
0.1104041,749,404.47,1795,41
0.1268782,749,404.47,1795,41
0.1434446,749,404.47,1795,41
0.1600902,749,404.47,1795,41
0.1765776,749,404.47,1795,41
0.1931438,749,404.47,1795,41
0.2097103,749,404.47,1795,41
0.2265981,749,404.47,1795,41
0.2428439,749,404.47,1795,41
0.2595973,749,404.47,1795,41
0.2759779,749,404.47,1795,41
0.2926003,749,404.47,1795,41
0.3095985,749,404.47,1795,41
0.3256772,749,404.47,1795,41
0.3425978,749,404.47,1795,41
0.3588104,749,404.47,1795,41
0.3753777,749,404.47,1795,41
0.3923076,749,404.47,1795,41
0.4088349,749,404.47,1795,41
0.4250774,749,404.47,1795,41
0.4418336,749,404.47,1795,41
0.4588316,749,404.47,1795,41
0.4748318,749,404.47,1795,41
0.491344,749,404.47,1795,41
0.5079104,749,404.47,1795,41
0.5244773,749,404.47,1795,41
0.5418349,749,404.47,1795,41
0.5576102,749,404.47,1795,41
0.5748315,749,404.47,1795,41
0.5908346,749,404.47,1795,41
0.6073108,749,404.47,1795,41
0.6238773,749,404.47,1795,41
0.6404446,749,404.47,1795,41
0.6570115,749,404.47,1795,41
0.6738324,749,404.47,1795,41
0.6901446,749,404.47,1795,41
0.7068389,749,404.47,1795,41
0.7232775,749,404.47,1795,41
0.7398444,749,404.47,1795,41
0.7564128,749,404.47,1795,41
0.7729776,749,404.47,1795,41
0.7895447,749,404.47,1795,41
0.8068333,749,404.47,1795,41
0.8226779,749,404.47,1795,41
0.8392437,749,404.47,1795,41
0.8558341,749,404.47,1795,41
0.8723776,749,404.47,1795,41
0.888944,749,404.47,1795,41
0.9058309,749,404.47,1795,41
0.922079,749,404.47,1795,41
0.938832,749,404.47,1795,41
0.955834,749,404.47,1795,41
0.9718317,749,404.47,1795,41
0.9888326,749,404.47,1795,41
1.00491,749,404.47,1795,41
1.021833,749,404.47,1795,41
1.038044,749,404.47,1795,41
1.054835,749,404.47,1795,41
1.071178,749,404.47,1795,41
1.087832,749,404.47,1795,41
1.104311,749,404.47,1795,41
1.120877,749,404.47,1795,41
1.137447,749,404.47,1795,41
1.154011,749,404.47,1795,41
1.170832,749,404.47,1795,41
1.187832,749,404.47,1795,41
1.203839,749,404.47,1795,41
1.220279,749,404.47,1795,41
1.236845,749,404.47,1795,41
1.253835,749,404.47,1795,41
1.269977,749,404.47,1795,41
1.286544,749,404.47,1795,41
1.303111,749,404.47,1795,41
1.319832,749,404.47,1795,41
1.336243,749,404.47,1795,41
1.352831,749,404.47,1795,41
1.369377,749,404.47,1795,41
1.385944,749,404.47,1795,41
1.402511,749,404.47,1795,41
1.419078,749,404.47,1795,41
1.435832,749,404.47,1795,41
1.452831,749,404.47,1795,41
1.46883,749,404.47,1795,41
1.485344,749,404.47,1795,41
1.501911,749,404.47,1795,41
1.518478,749,404.47,1795,41
1.535044,749,404.47,1795,41
1.551611,749,404.47,1795,41
1.568177,749,404.47,1795,41
1.584831,749,404.47,1795,41
1.601831,749,404.47,1795,41
1.617877,749,404.47,1795,41
1.634443,749,404.47,1795,41
1.65101,749,404.47,1795,41
1.667577,749,404.47,1795,41
1.684143,749,404.47,1795,41
1.700833,749,404.47,1795,41
1.717831,749,404.47,1795,42
1.733844,749,404.47,1795,42
1.750413,749,404.47,1795,42
1.766978,749,404.47,1795,42
1.78383,749,404.47,1795,42
1.800112,749,404.47,1795,42
1.816677,749,404.47,1795,42
1.83383,749,404.47,1795,42
1.849832,749,404.47,1795,42
1.866377,749,404.47,1795,42
1.882944,749,404.47,1795,42
1.89983,749,404.47,1795,42
1.916077,749,404.47,1795,42
1.93283,749,404.47,1795,42
1.949831,749,404.47,1795,42
1.965829,749,404.47,1795,42
1.982343,749,404.47,1795,42
1.99891,749,404.47,1795,42
2.015832,749,404.47,1795,42
