Time, X Position, Y Position, Z Position, GSR, m, b, distance
0.3333333,749,404.47,1795,36,0,0,0
0.6666667,749,404.47,1795,36,0,0,0
0.6866667,749,404.47,1795,36,0,0,0
0.705236,749,404.47,1795,36,0,0,0
0.7221757,749,404.47,1795,36,0,0,0
0.7395996,749,404.47,1795,36,0,0,0
0.757023,749,404.47,1795,36,0,0,0
0.7768639,749,404.47,1795,36,0,0,0
0.794259,749,404.47,1795,36,0,0,0
0.811433,749,404.47,1795,36,0,0,0
0.8290543,749,404.47,1795,36,0,0,0
0.8466651,749,404.47,1795,36,0,0,0
0.8635702,749,404.47,1795,36,0,0,0
0.8814215,749,404.47,1795,36,0,0,0
0.8986481,749,404.47,1795,36,0,0,0
0.9156413,749,404.47,1795,36,0,0,0
0.9329865,749,404.47,1795,36,0,0,0
0.9528474,749,404.47,1795,36,0,0,0
0.9725061,749,404.47,1795,36,0,0,0
0.9903545,749,404.47,1795,36,0,0,0
1.008856,749,404.47,1795,36,0,0,0
1.027948,749,404.47,1795,36,0,0,0
1.046358,749,404.47,1795,36,0,0,0
1.064966,749,404.47,1795,36,0,0,0
1.084357,749,404.47,1795,36,0,0,0
1.102002,749,404.47,1795,36,0,0,0
1.120554,749,404.47,1795,36,0,0,0
1.139539,749,404.47,1795,36,0,0,0
1.157509,749,404.47,1795,36,0,0,0
1.174286,749,404.47,1795,36,0,0,0
1.191815,749,404.47,1795,36,0,0,0
1.209301,749,404.47,1795,36,0,0,0
1.226946,749,404.47,1795,36,0,0,0
1.243615,749,404.47,1795,36,0,0,0
1.260488,749,404.47,1795,36,0,0,0
1.277154,749,404.47,1795,36,0,0,0
1.294651,749,404.47,1795,36,0,0,0
1.311423,749,404.47,1795,36,0,0,0
1.328215,749,404.47,1795,36,0,0,0
1.345311,749,404.47,1795,36,0,0,0
1.362115,749,404.47,1795,36,0,0,0
1.379293,749,404.47,1795,36,0,0,0
1.395985,749,404.47,1795,36,0,0,0
1.412734,749,404.47,1795,36,0,0,0
1.429648,749,404.47,1795,36,0,0,0
1.446876,749,404.47,1795,36,0,0,0
1.463833,749,404.47,1795,36,0,0,0
1.481239,749,404.47,1795,36,0,0,0
1.501308,749,404.47,1795,36,0,0,0
1.520751,749,404.47,1795,36,0,0,0
1.537813,749,404.47,1795,36,0,0,0
