Time, X Position, Y Position, Z Position, GSR
0.3333333,749,404.47,1795,49
0.6666667,749,404.47,1795,49
0.6866667,749,404.47,1795,49
0.7078547,749,404.47,1795,49
0.7244236,749,404.47,1795,49
0.7409914,749,404.47,1795,49
0.7579606,749,404.47,1795,49
0.7741244,749,404.47,1795,49
0.7906905,749,404.47,1795,49
0.8072575,749,404.47,1795,49
0.8244008,749,404.47,1795,49
0.841068,749,404.47,1795,49
0.8758929,749,404.47,1795,49
0.9046524,749,404.47,1795,49
0.9226987,749,404.47,1795,49
0.9392686,749,404.47,1795,49
0.9558348,749,404.47,1795,49
0.9725914,749,404.47,1795,49
0.9893338,749,404.47,1795,49
1.006227,749,404.47,1795,49
1.022227,749,404.47,1795,49
1.038669,749,404.47,1795,49
1.055235,749,404.47,1795,49
1.071801,749,404.47,1795,49
1.088368,749,404.47,1795,49
1.104935,749,404.47,1795,49
1.121501,749,404.47,1795,49
1.138068,749,404.47,1795,49
1.154834,749,404.47,1795,49
1.171829,749,404.47,1795,49
1.187767,749,404.47,1795,49
1.204917,749,404.47,1795,49
1.220916,749,404.47,1795,49
1.237916,749,404.47,1795,49
1.254035,749,404.47,1795,49
1.270601,749,404.47,1795,49
1.287464,749,404.47,1795,49
1.303735,749,404.47,1795,49
1.320976,749,404.47,1795,49
1.33706,749,404.47,1795,49
1.353974,749,404.47,1795,49
1.370002,749,404.47,1795,49
1.386568,749,404.47,1795,49
1.403134,749,404.47,1795,49
1.419963,749,404.47,1795,49
1.436267,749,404.47,1795,49
1.452834,749,404.47,1795,49
1.469962,749,404.47,1795,49
1.485967,749,404.47,1795,49
1.502765,749,404.47,1795,49
1.5191,749,404.47,1795,49
1.535767,749,404.47,1795,49
1.552234,749,404.47,1795,49
1.5688,749,404.47,1795,49
1.585368,749,404.47,1795,49
1.601934,749,404.47,1795,49
1.618773,749,404.47,1795,49
1.635067,749,404.47,1795,49
1.651772,749,404.47,1795,49
1.668201,749,404.47,1795,49
1.684813,749,404.47,1795,49
1.701334,749,404.47,1795,49
1.7179,749,404.47,1795,49
1.734813,749,404.47,1795,49
1.751033,749,404.47,1795,49
1.767813,749,404.47,1795,49
1.784465,749,404.47,1795,49
1.801018,749,404.47,1795,49
1.818017,749,404.47,1795,49
1.834016,749,404.47,1795,49
1.851015,749,404.47,1795,49
1.867013,749,404.47,1795,49
1.883786,749,404.47,1795,49
1.900134,749,404.47,1795,49
1.916783,749,404.47,1795,48
1.933782,749,404.47,1795,48
1.949833,749,404.47,1795,48
1.96678,749,404.47,1795,48
1.983782,749,404.47,1795,48
2.000046,749,404.47,1795,48
2.016101,749,404.47,1795,48
2.033042,749,404.47,1795,48
2.049236,749,404.47,1795,48
2.066046,749,404.47,1795,48
2.082548,749,404.47,1795,48
2.098934,749,404.47,1795,48
2.115501,749,404.47,1795,48
2.132067,749,404.47,1795,48
2.149059,749,404.47,1795,48
2.1652,749,404.47,1795,48
2.181768,749,404.47,1795,48
2.198334,749,404.47,1795,48
2.215094,749,404.47,1795,48
2.231468,749,404.47,1795,48
2.248035,749,404.47,1795,48
2.264601,749,404.47,1795,48
2.281168,749,404.47,1795,48
2.297734,749,404.47,1795,48
2.314379,749,404.47,1795,48
2.330868,749,404.47,1795,48
2.347435,749,404.47,1795,48
2.364001,749,404.47,1795,48
2.380891,749,404.47,1795,48
2.397403,749,404.47,1795,48
2.413701,749,404.47,1795,48
2.430407,749,404.47,1795,48
2.446923,749,404.47,1795,48
2.463401,749,404.47,1795,48
2.479968,749,404.47,1795,48
2.496535,749,404.47,1795,48
2.513429,749,404.47,1795,48
2.529668,749,404.47,1795,48
2.546235,749,404.47,1795,48
2.562937,749,404.47,1795,48
2.579367,749,404.47,1795,48
2.596444,749,404.47,1795,48
2.6125,749,404.47,1795,48
2.629069,749,404.47,1795,48
2.645634,749,404.47,1795,48
2.662448,749,404.47,1795,48
2.678767,749,404.47,1795,48
2.695501,749,404.47,1795,48
2.711901,749,404.47,1795,48
2.728506,749,404.47,1795,48
2.745503,749,404.47,1795,48
2.761601,749,404.47,1795,48
2.778168,749,404.47,1795,48
2.794734,749,404.47,1795,48
2.811301,749,404.47,1795,48
2.827868,749,404.47,1795,48
2.844511,749,404.47,1795,48
2.861001,749,404.47,1795,48
2.877567,749,404.47,1795,48
2.894504,749,404.47,1795,48
2.910702,749,404.47,1795,48
2.927267,749,404.47,1795,48
2.943835,749,404.47,1795,48
2.960517,749,404.47,1795,48
2.976968,749,404.47,1795,48
2.994331,749,404.47,1795,48
3.01033,749,404.47,1795,48
3.026667,749,404.47,1795,48
3.043329,749,404.47,1795,48
3.060334,749,404.47,1795,48
3.076368,749,404.47,1795,48
3.093328,749,404.47,1795,48
3.109502,749,404.47,1795,48
3.126067,749,404.47,1795,48
3.143328,749,404.47,1795,48
3.159327,749,404.47,1795,48
3.175767,749,404.47,1795,48
3.192334,749,404.47,1795,48
3.20933,749,404.47,1795,48
3.225468,749,404.47,1795,48
3.242334,749,404.47,1795,48
3.2586,749,404.47,1795,48
3.275329,749,404.47,1795,48
3.291734,749,404.47,1795,48
3.308328,749,404.47,1795,48
3.325328,749,404.47,1795,48
3.341434,749,404.47,1795,48
3.358325,749,404.47,1795,48
3.375327,749,404.47,1795,48
3.391335,749,404.47,1795,48
3.408334,749,404.47,1795,48
3.424333,749,404.47,1795,48
3.440861,749,404.47,1795,48
3.457471,749,404.47,1795,48
3.474468,749,404.47,1795,48
3.490536,749,404.47,1795,48
3.507102,749,404.47,1795,48
3.523669,749,404.47,1795,48
3.540532,749,404.47,1795,48
3.557055,749,404.47,1795,48
3.573369,749,404.47,1795,48
3.590051,749,404.47,1795,48
3.606501,749,404.47,1795,48
3.624053,749,404.47,1795,48
3.639634,749,404.47,1795,48
3.656201,749,404.47,1795,48
3.672768,749,404.47,1795,48
3.689756,749,404.47,1795,48
3.705919,749,404.47,1795,48
3.722467,749,404.47,1795,48
3.739556,749,404.47,1795,48
3.756185,749,404.47,1795,48
3.77218,749,404.47,1795,48
3.788734,749,404.47,1795,48
3.805301,749,404.47,1795,48
3.822184,749,404.47,1795,48
3.838434,749,404.47,1795,48
3.855361,749,404.47,1795,48
3.871567,749,404.47,1795,48
3.888371,749,404.47,1795,48
3.905366,749,404.47,1795,48
3.921267,749,404.47,1795,48
3.937835,749,404.47,1795,48
3.9544,749,404.47,1795,48
3.971319,749,404.47,1795,48
3.987534,749,404.47,1795,48
4.004319,749,404.47,1795,48
4.020679,749,404.47,1795,48
4.037324,749,404.47,1795,48
4.054317,749,404.47,1795,48
4.070368,749,404.47,1795,48
4.087002,749,404.47,1795,48
4.1035,749,404.47,1795,48
4.120319,749,404.47,1795,48
4.136633,749,404.47,1795,48
4.15331,749,404.47,1795,48
4.169765,749,404.47,1795,48
4.186333,749,404.47,1795,48
4.203312,749,404.47,1795,48
4.219465,749,404.47,1795,48
4.23631,749,404.47,1795,48
4.252826,749,404.47,1795,48
4.269166,749,404.47,1795,48
4.285824,749,404.47,1795,48
4.3023,749,404.47,1795,48
4.318868,749,404.47,1795,48
4.336154,749,404.47,1795,48
4.352187,749,404.47,1795,48
4.368566,749,404.47,1795,48
4.385182,749,404.47,1795,48
4.401699,749,404.47,1795,48
4.418267,749,404.47,1795,48
4.435183,749,404.47,1795,48
4.451399,749,404.47,1795,48
4.467968,749,404.47,1795,48
4.484839,749,404.47,1795,48
4.501842,749,404.47,1795,48
4.517841,749,404.47,1795,48
4.534233,749,404.47,1795,48
4.550799,749,404.47,1795,48
4.567366,749,404.47,1795,48
4.584033,749,404.47,1795,48
4.600499,749,404.47,1795,48
4.617067,749,404.47,1795,48
4.633633,749,404.47,1795,48
4.650199,749,404.47,1795,48
4.667034,749,404.47,1795,48
4.683333,749,404.47,1795,48
4.70004,749,404.47,1795,48
4.716468,749,404.47,1795,48
4.733041,749,404.47,1795,48
4.749602,749,404.47,1795,48
4.766168,749,404.47,1795,48
4.782734,749,404.47,1795,48
4.799301,749,404.47,1795,48
4.815868,749,404.47,1795,48
4.832435,749,404.47,1795,48
4.849062,749,404.47,1795,48
4.865569,749,404.47,1795,48
4.882134,749,404.47,1795,48
4.8987,749,404.47,1795,48
4.915962,749,404.47,1795,48
4.931962,749,404.47,1795,48
4.948964,749,404.47,1795,48
4.964967,749,404.47,1795,48
4.981534,749,404.47,1795,48
4.9981,749,404.47,1795,48
5.014666,749,404.47,1795,48
5.031568,749,404.47,1795,48
5.047799,749,404.47,1795,48
5.064594,749,404.47,1795,48
5.080933,749,404.47,1795,48
5.09812,749,404.47,1795,48
5.114107,749,404.47,1795,48
5.131105,749,404.47,1795,48
5.147198,749,404.47,1795,48
5.163766,749,404.47,1795,48
5.180332,749,404.47,1795,48
5.197502,749,404.47,1795,48
5.213509,749,404.47,1795,48
5.2305,749,404.47,1795,48
5.246598,749,404.47,1795,48
5.263505,749,404.47,1795,48
5.279732,749,404.47,1795,48
5.2963,749,404.47,1795,48
5.312865,749,404.47,1795,48
5.329556,749,404.47,1795,48
5.345998,749,404.47,1795,48
5.362566,749,404.47,1795,48
5.379552,749,404.47,1795,48
5.3957,749,404.47,1795,48
5.41256,749,404.47,1795,48
5.428833,749,404.47,1795,48
5.445552,749,404.47,1795,48
5.461966,749,404.47,1795,48
5.478549,749,404.47,1795,48
5.495197,749,404.47,1795,48
