Time, X Position, Y Position, Z Position, GSR
2.886096,749,404.47,1795,46
2.902591,749,404.47,1795,46
2.919157,749,404.47,1795,46
2.936095,749,404.47,1795,46
2.95229,749,404.47,1795,46
2.969096,749,404.47,1795,46
2.986098,749,404.47,1795,46
3.002095,749,404.47,1795,46
3.019097,749,404.47,1795,46
3.035124,749,404.47,1795,46
3.052095,749,404.47,1795,46
3.068258,749,404.47,1795,46
3.084825,749,404.47,1795,46
3.101785,749,404.47,1795,46
3.117959,749,404.47,1795,46
3.134829,749,404.47,1795,46
3.151695,749,404.47,1795,46
3.168228,749,404.47,1795,46
3.184225,749,404.47,1795,46
3.200791,749,404.47,1795,46
3.217357,749,404.47,1795,46
3.233924,749,404.47,1795,46
3.250491,749,404.47,1795,46
3.267058,749,404.47,1795,46
3.283626,749,404.47,1795,46
3.300192,749,404.47,1795,46
3.317231,749,404.47,1795,46
3.333326,749,404.47,1795,46
3.35023,749,404.47,1795,46
3.366457,749,404.47,1795,46
3.383232,749,404.47,1795,46
3.39959,749,404.47,1795,46
3.416157,749,404.47,1795,46
3.43323,749,404.47,1795,46
3.44929,749,404.47,1795,46
3.466231,749,404.47,1795,46
3.482424,749,404.47,1795,46
3.499237,749,404.47,1795,46
3.516236,749,404.47,1795,46
3.532236,749,404.47,1795,46
3.549235,749,404.47,1795,46
3.565306,749,404.47,1795,46
3.581824,749,404.47,1795,46
3.59839,749,404.47,1795,46
3.614956,749,404.47,1795,46
3.631523,749,404.47,1795,46
3.648298,749,404.47,1795,46
3.664657,749,404.47,1795,46
3.681301,749,404.47,1795,46
3.69779,749,404.47,1795,46
3.714358,749,404.47,1795,46
3.730925,749,404.47,1795,46
3.74749,749,404.47,1795,46
3.764057,749,404.47,1795,46
3.781303,749,404.47,1795,46
3.797302,749,404.47,1795,46
3.814302,749,404.47,1795,46
3.831298,749,404.47,1795,46
3.847299,749,404.47,1795,46
3.863457,749,404.47,1795,46
3.880024,749,404.47,1795,46
3.897308,749,404.47,1795,46
3.913306,749,404.47,1795,46
3.929724,749,404.47,1795,46
3.946304,749,404.47,1795,46
3.962858,749,404.47,1795,46
3.979424,749,404.47,1795,46
3.99631,749,404.47,1795,46
4.012558,749,404.47,1795,46
4.029585,749,404.47,1795,46
4.045691,749,404.47,1795,46
4.062305,749,404.47,1795,46
4.078824,749,404.47,1795,46
4.09539,749,404.47,1795,46
4.111959,749,404.47,1795,46
4.129129,749,404.47,1795,46
4.145136,749,404.47,1795,46
4.161657,749,404.47,1795,46
4.178225,749,404.47,1795,46
4.194791,749,404.47,1795,46
4.212134,749,404.47,1795,46
4.227924,749,404.47,1795,46
4.245133,749,404.47,1795,46
4.261138,749,404.47,1795,46
4.278139,749,404.47,1795,46
4.294194,749,404.47,1795,46
4.311138,749,404.47,1795,46
4.327324,749,404.47,1795,46
4.344109,749,404.47,1795,46
4.360459,749,404.47,1795,46
4.37738,749,404.47,1795,46
4.393591,749,404.47,1795,46
4.410515,749,404.47,1795,46
4.426724,749,404.47,1795,46
4.443291,749,404.47,1795,46
4.460544,749,404.47,1795,46
4.476545,749,404.47,1795,46
4.492991,749,404.47,1795,46
4.509559,749,404.47,1795,46
4.526125,749,404.47,1795,46
4.542692,749,404.47,1795,46
4.55926,749,404.47,1795,46
4.575826,749,404.47,1795,46
4.592392,749,404.47,1795,46
4.608959,749,404.47,1795,46
4.625526,749,404.47,1795,46
4.642092,749,404.47,1795,46
4.659318,749,404.47,1795,46
4.675319,749,404.47,1795,46
4.692318,749,404.47,1795,46
4.708358,749,404.47,1795,46
4.725185,749,404.47,1795,46
4.741493,749,404.47,1795,46
4.758183,749,404.47,1795,46
4.775185,749,404.47,1795,46
4.791192,749,404.47,1795,46
4.808187,749,404.47,1795,46
4.824327,749,404.47,1795,46
4.841184,749,404.47,1795,46
4.857459,749,404.47,1795,46
4.874187,749,404.47,1795,46
4.890593,749,404.47,1795,46
4.907185,749,404.47,1795,46
4.924188,749,404.47,1795,46
4.940294,749,404.47,1795,46
4.957186,749,404.47,1795,46
4.973426,749,404.47,1795,46
4.990185,749,404.47,1795,46
5.00656,749,404.47,1795,46
5.023705,749,404.47,1795,46
5.039694,749.0078,404.4694,1794.984,46
5.05626,749.015,404.4688,1794.969,46
5.072826,749.0225,404.4682,1794.953,46
5.089392,749.0299,404.4677,1794.937,46
5.10623,749.0374,404.4671,1794.921,46
5.123199,749.045,404.4665,1794.905,46
5.139201,749.0526,404.4659,1794.889,46
5.155659,749.0599,404.4653,1794.874,46
5.172331,749.0673,404.4647,1794.858,46
5.18933,749.0748,404.4641,1794.842,46
5.205359,749.0825,404.4635,1794.826,46
5.222059,749.0897,404.463,1794.811,46
5.239059,749.0972,404.4624,1794.795,46
5.255099,749.1049,404.4618,1794.779,46
5.272099,749.1121,404.4612,1794.763,46
5.288192,749.1198,404.4606,1794.747,46
5.304759,749.127,404.46,1794.732,46
5.321325,749.1345,404.4594,1794.716,46
5.338068,749.1419,404.4589,1794.7,46
5.354458,749.1495,404.4583,1794.684,46
5.371067,749.1569,404.4577,1794.669,46
5.388069,749.1643,404.4571,1794.653,46
5.40416,749.172,404.4565,1794.636,46
5.420725,749.1792,404.4559,1794.621,46
5.437292,749.1866,404.4553,1794.605,46
5.454726,749.1942,404.4547,1794.59,46
5.470731,749.202,404.4541,1794.573,46
5.486993,749.2092,404.4536,1794.558,46
5.503737,749.2165,404.453,1794.542,46
5.520283,749.224,404.4524,1794.526,46
