Time, X Position, Y Position, Z Position, GSR, m, b, distance
0.3333333,749,404.47,1795,74,0,0,0
0.6666667,749,404.47,1795,74,0,0,0
0.6866667,749,404.47,1795,74,0,0,0
0.7049235,749,404.47,1795,74,0,0,0
0.7223439,749,404.47,1795,74,0,0,0
0.739764,749,404.47,1795,74,0,0,0
0.7570162,749,404.47,1795,74,0,0,0
0.7742018,749,404.47,1795,74,0,0,0
0.7913383,749,404.47,1795,74,0,0,0
0.8092059,749,404.47,1795,74,0,0,0
0.8276945,749,404.47,1795,74,0,0,0
0.8462653,749,404.47,1795,74,0,0,0
0.8630148,749,404.47,1795,74,0,0,0
0.8795381,749,404.47,1795,74,0,0,0
0.8966346,749,404.47,1795,74,0,0,0
0.9130576,749,404.47,1795,74,0,0,0
0.9297153,749,404.47,1795,74,0,0,0
0.9486777,749,404.47,1795,74,0,0,0
0.9664361,749,404.47,1795,74,0,0,0
0.9830062,749,404.47,1795,74,0,0,0
0.9996141,749,404.47,1795,74,0,0,0
1.01611,749,404.47,1795,74,0,0,0
1.032647,749,404.47,1795,74,0,0,0
1.049368,749,404.47,1795,74,0,0,0
1.065828,749,404.47,1795,74,0,0,0
1.082968,749,404.47,1795,74,0,0,0
1.099603,749,404.47,1795,74,0,0,0
1.115979,749,404.47,1795,74,0,0,0
1.133783,749,404.47,1795,74,0,0,0
1.152088,749,404.47,1795,74,0,0,0
1.169201,749,404.47,1795,74,0,0,0
1.186426,749,404.47,1795,74,0,0,0
1.204042,749,404.47,1795,74,0,0,0
1.221207,749,404.47,1795,74,0,0,0
1.23779,749,404.47,1795,74,0,0,0
1.255048,749,404.47,1795,74,0,0,0
1.272723,749,404.47,1795,74,0,0,0
1.289855,749,404.47,1795,74,0,0,0
1.306846,749,404.47,1795,74,0,0,0
1.323697,749,404.47,1795,74,0,0,0
1.341193,749,404.47,1795,74,0,0,0
1.358266,749,404.47,1795,74,0,0,0
1.374986,749,404.47,1795,74,0,0,0
1.391877,749,404.47,1795,74,0,0,0
1.409407,749,404.47,1795,74,0,0,0
1.426412,749,404.47,1795,74,0,0,0
1.443374,749,404.47,1795,74,0,0,0
1.460195,749,404.47,1795,74,0,0,0
1.476847,749,404.47,1795,74,0,0,0
1.495735,749,404.47,1795,74,0,0,0
1.51532,749,404.47,1795,74,0,0,0
1.534197,749,404.47,1795,74,0,0,0
1.551613,749,404.47,1795,74,0,0,0
1.569012,749,404.47,1795,74,0,0,0
1.586447,749,404.47,1795,74,0,0,0
1.603464,749,404.47,1795,74,0,0,0
1.620198,749,404.47,1795,74,0,0,0
1.636815,749,404.47,1795,74,0,0,0
1.652984,749,404.47,1795,74,0,0,0
1.669539,749,404.47,1795,74,0,0,0
1.686074,749,404.47,1795,74,0,0,0
1.702485,749,404.47,1795,74,0,0,0
1.71918,749,404.47,1795,74,0,0,0
1.735966,749,404.47,1795,74,0,0,0
1.752421,749,404.47,1795,74,0,0,0
1.769394,749,404.47,1795,74,0,0,0
1.785712,749,404.47,1795,74,0,0,0
1.802912,749,404.47,1795,74,0,0,0
1.819786,749,404.47,1795,74,0,0,0
1.839544,749,404.47,1795,74,0,0,0
1.857387,749,404.47,1795,74,0,0,0
1.874159,749,404.47,1795,74,0,0,0
1.891078,749,404.47,1795,74,0,0,0
1.907974,749,404.47,1795,74,0,0,0
1.925401,749,404.47,1795,74,0,0,0
1.94231,749,404.47,1795,74,0,0,0
1.960443,749,404.47,1795,74,0,0,0
1.978313,749,404.47,1795,74,0,0,0
1.996737,749,404.47,1795,74,0,0,0
2.013702,749,404.47,1795,74,0,0,0
2.030921,749,404.47,1795,74,0,0,0
2.048511,749,404.47,1795,74,0,0,0
2.066113,749,404.47,1795,74,0,0,0
2.085266,749,404.47,1795,74,0,0,0
2.10234,749,404.47,1795,74,0,0,0
2.119215,749,404.47,1795,74,0,0,0
2.135867,749,404.47,1795,74,0,0,0
2.152701,749,404.47,1795,74,0,0,0
2.169875,749,404.47,1795,74,0,0,0
2.187548,749,404.47,1795,74,0,0,0
2.205004,749,404.47,1795,74,0,0,0
2.221844,749,404.47,1795,74,0,0,0
2.238976,749,404.47,1795,74,0,0,0
2.25598,749,404.47,1795,74,0,0,0
2.273798,749,404.47,1795,74,0,0,0
2.290398,749,404.47,1795,74,0,0,0
2.307965,749,404.47,1795,74,0,0,0
2.325116,749,404.47,1795,74,0,0,0
2.34195,749,404.47,1795,74,0,0,0
2.359194,749,404.47,1795,74,0,0,0
2.375611,749,404.47,1795,74,0,0,0
2.392441,749,404.47,1795,74,0,0,0
2.409099,749,404.47,1795,74,0,0,0
2.426045,749,404.47,1795,74,0,0,0
2.442835,749,404.47,1795,74,0,0,0
2.45993,749,404.47,1795,74,0,0,0
2.476576,749,404.47,1795,74,0,0,0
2.493319,749,404.47,1795,74,0,0,0
2.510146,749,404.47,1795,74,0,0,0
2.52714,749,404.47,1795,74,0,0,0
2.545939,749,404.47,1795,74,0,0,0
2.566284,749,404.47,1795,74,0,0,0
2.586051,749,404.47,1795,74,0,0,0
2.60503,749,404.47,1795,74,0,0,0
2.62463,749,404.47,1795,74,0,0,0
2.645448,749,404.47,1795,74,0,0,0
2.665512,749,404.47,1795,74,0,0,0
2.685736,749,404.47,1795,74,0,0,0
2.705907,749,404.47,1795,74,0,0,0
2.725212,749,404.47,1795,74,0,0,0
2.74412,749,404.47,1795,74,0,0,0
2.762868,749,404.47,1795,74,0,0,0
2.781446,749,404.47,1795,74,0,0,0
2.80055,749,404.47,1795,74,0,0,0
2.820648,749,404.47,1795,74,0,0,0
2.838895,749,404.47,1795,74,0,0,0
2.86096,749,404.47,1795,74,0,0,0
2.879746,749,404.47,1795,74,0,0,0
2.896748,749,404.47,1795,74,0,0,0
2.913557,749,404.47,1795,74,0,0,0
2.929993,749,404.47,1795,74,0,0,0
2.947333,749,404.47,1795,74,0,0,0
2.964357,749,404.47,1795,74,0,0,0
2.980957,749,404.47,1795,74,0,0,0
2.997343,749,404.47,1795,74,0,0,0
3.013757,749,404.47,1795,74,0,0,0
3.030277,749,404.47,1795,74,0,0,0
3.04662,749,404.47,1795,74,0,0,0
3.063321,749,404.47,1795,74,0,0,0
3.080055,749,404.47,1795,74,0,0,0
3.09674,749,404.47,1795,74,0,0,0
3.11335,749,404.47,1795,74,0,0,0
3.131233,749,404.47,1795,74,0,0,0
3.148138,749,404.47,1795,74,0,0,0
3.165456,749,404.47,1795,74,0,0,0
3.182682,749,404.47,1795,74,0,0,0
3.20062,749,404.47,1795,74,0,0,0
3.218314,749,404.47,1795,74,0,0,0
3.235237,749,404.47,1795,74,0,0,0
3.252732,749,404.47,1795,74,0,0,0
3.269858,749,404.47,1795,74,0,0,0
3.287445,749,404.47,1795,74,0,0,0
3.304811,749,404.47,1795,74,0,0,0
3.321867,749,404.47,1795,74,0,0,0
3.338918,749,404.47,1795,74,0,0,0
3.355624,749,404.47,1795,74,0,0,0
3.371991,749,404.47,1795,74,0,0,0
3.388604,749,404.47,1795,74,0,0,0
3.404878,749,404.47,1795,74,0,0,0
3.421323,749,404.47,1795,74,0,0,0
3.439513,749,404.47,1795,74,0,0,0
3.456608,749,404.47,1795,74,0,0,0
3.474001,749,404.47,1795,74,0,0,0
3.492075,749,404.47,1795,74,0,0,0
3.5096,749,404.47,1795,74,0,0,0
3.527065,749,404.47,1795,74,0,0,0
3.54494,749,404.47,1795,74,0,0,0
3.56249,749,404.47,1795,74,0,0,0
3.580413,749,404.47,1795,74,0,0,0
3.597713,749,404.47,1795,74,0,0,0
3.615429,749,404.47,1795,74,0,0,0
3.633453,749,404.47,1795,74,0,0,0
